x,Curve1
88.5764,1.08226
95.9578,1.17097
104.394,1.26857
108.612,1.39258
115.993,1.52555
122.32,1.65848
126.538,1.7294
132.865,1.83578
138.137,1.97753
141.301,2.08381
147.627,2.19905
150.791,2.32303
153.954,2.39392
157.118,2.26127
163.445,2.14641
169.772,2.03156
179.262,1.90794
189.807,1.81976
200.351,1.73157
214.06,1.65233
229.877,1.62625
241.476,1.57349
258.348,1.55629
273.111,1.53903
287.873,1.51292
307.909,1.50466
319.508,1.4873
328.998,1.46988
342.707,1.46144
362.742,1.46203
375.395,1.47125
392.267,1.47175
410.193,1.46343
426.011,1.46389
443.937,1.46442
459.754,1.45604
474.517,1.44763
485.062,1.45679
498.77,1.44834
