# ALPHA ENERGY LOSS FOR Scintillator
# T [GeV]	 dE/dx [MeV/cm]
1e-05	492.244
1.26219e-05	550.542
1.59312e-05	615.942
2.01081e-05	689.299
2.53802e-05	771.547
3.20345e-05	863.684
4.04335e-05	966.746
5.10347e-05	1081.75
6.44153e-05	1209.57
8.13041e-05	1350.8
0.000102621	1505.4
0.000129527	1672.25
0.000163487	1848.42
0.000206351	2028.16
0.000260454	2201.79
0.000328741	2354.71
0.000414933	2467.8
0.000523722	2520.32
0.000661035	2496.13
0.00083435	2391.35
0.00105311	2218.12
0.00132922	2000.62
0.00167772	1765.64
0.00211759	1534.27
0.0026728	1319.04
0.00337357	1125.33
0.00425808	954.262
0.00537449	804.956
0.00678361	675.765
0.00856218	566.902
0.0108071	477.004
0.0136405	398.496
0.0172169	331.885
0.0217309	275.51
0.0274285	228.447
0.0346199	189.123
0.0436968	156.452
0.0551535	129.341
0.069614	106.887
0.0878659	88.3258
0.110903	73.0117
0.13998	60.4031
0.176681	50.0437
0.223005	41.55
0.281474	34.6009
0.355273	28.9286
0.44842	24.3102
0.56599	20.5609
0.714385	17.5278
0.901688	15.085
1.1381	13.1288
1.43649	11.5743
1.81312	10.3521
2.2885	9.40504
2.88851	8.68197
3.64584	8.12836
4.60173	7.72572
5.80825	7.44678
7.33109	7.26848
9.2532	7.17128
11.6793	7.13866
14.7414	7.1567
18.6064	7.21383
23.4848	7.30055
29.6422	7.40915
37.414	7.53342
47.2234	7.66838
59.6048	7.80999
75.2323	7.95495
94.9572	8.10066
119.854	8.2453
151.278	8.38787
190.941	8.52804
241.003	8.66591
304.191	8.80169
383.946	8.93558
484.611	9.06764
611.67	9.19785
772.041	9.32607
974.46	9.45213
1229.95	9.57579
1552.43	9.69681
1959.45	9.81496
2473.2	9.93001
3121.63	10.0418
3940.09	10.15
4973.12	10.2547
6277.01	10.3558
7922.76	10.4521
10000	10.4386
