# ELECTRON ENERGY LOSS FOR Scintillator
# T [GeV]	 dE/dx [MeV/cm]
1e-05	20.9057
1.26219e-05	17.4083
1.59312e-05	14.4968
2.01081e-05	12.0802
2.53802e-05	10.0798
3.20345e-05	8.42853
4.04335e-05	7.06916
5.10347e-05	5.95337
6.44153e-05	5.04042
8.13041e-05	4.29616
0.000102621	3.69206
0.000129527	3.20436
0.000163487	2.81336
0.000206351	2.50278
0.000260454	2.25917
0.000328741	2.07139
0.000414933	1.92797
0.000523722	1.81914
0.000661035	1.74102
0.00083435	1.68803
0.00105311	1.65547
0.00132922	1.63936
0.00167772	1.63638
0.00211759	1.64392
0.0026728	1.65996
0.00337357	1.68301
0.00425808	1.71221
0.00537449	1.74718
0.00678361	1.788
0.00856218	1.83533
0.0108071	1.89031
0.0136405	1.95474
0.0172169	2.03122
0.0217309	2.12322
0.0274285	2.23546
0.0346199	2.37398
0.0436968	2.54634
0.0551535	2.76202
0.069614	3.03288
0.0878659	3.37478
0.110903	3.80598
0.13998	4.35197
0.176681	5.04187
0.223005	5.91253
0.281474	7.01334
0.355273	8.40301
0.44842	10.1589
0.56599	12.3774
0.714385	15.1799
0.901688	18.7236
1.1381	23.234
1.43649	28.9594
1.81312	36.1915
2.2885	45.3255
2.88851	56.8606
3.64584	71.4264
4.60173	89.8177
5.80825	113.038
7.33109	142.353
9.2532	179.362
11.6793	226.082
14.7414	285.058
18.6064	360.588
23.4848	454.603
29.6422	573.263
37.414	723.03
47.2234	912.059
59.6048	1150.64
75.2323	1451.78
94.9572	1831.86
119.854	2311.59
151.278	2917.1
190.941	3681.31
241.003	4645.74
304.191	5862.89
383.946	7398.95
484.611	9337.47
611.67	11783.9
772.041	14871.2
974.46	18766.9
1229.95	23681.6
1552.43	29882.4
1959.45	37705.5
2473.2	47572.1
3121.63	60014.5
3940.09	75703.3
4973.12	95477.3
6277.01	120394
7922.76	151776
10000	191281
