*= MATERIALS
n	Name	Zeff	Density [g/cc]	RadLen [cm]	Nucl. Int. Len [cm]	
0	Vacuum	1	1e-25	6.30435e+26	3.5e+26
1	Air	7.17095	0.00116	31929.5	73441.4
2	Granite	10.1287	2.7	10.0381	35.8056
3	ShotRock	10.1287	1.971	13.7509	49.0487
4	Dirt	10.1287	1.7	15.9429	56.8677
5	Concrete	10.1441	2.3	11.3834	42.0423
6	BariteRock	17.3346	3.2895	3.53885	39.9796
7	Scintillator	2.66079	0.853	52.4893	79.2165
8	PVC	5.52982	1.4947	16.7962	60.8009
9	Glue	3.59277	0.98	39.6743	76.5982
10	WLSFiber	2.66683	1.0457	42.8167	64.6631
11	Water	3.33331	1	36.083	75.3746
12	Steel	26	7.87	1.75838	16.9989
13	PivoterSteel	26	1.74	7.95315	76.8859
