# MUON ENERGY LOSS FOR Scintillator
# T [GeV]	 dE/dx [MeV/cm]
1e-05	564.951
1.26219e-05	563.745
1.59312e-05	549.216
2.01081e-05	523.352
2.53802e-05	492.175
3.20345e-05	454.415
4.04335e-05	411.667
5.10347e-05	367.019
6.44153e-05	323.138
8.13041e-05	282.276
0.000102621	244.541
0.000129527	210.529
0.000163487	180.36
0.000206351	153.867
0.000260454	130.391
0.000328741	109.994
0.000414933	92.2355
0.000523722	77.1004
0.000661035	64.2388
0.00083435	53.3606
0.00105311	44.2492
0.00132922	36.6432
0.00167772	30.313
0.00211759	25.0611
0.0026728	20.7163
0.00337357	17.1311
0.00425808	14.1798
0.00537449	11.7557
0.00678361	9.76911
0.00856218	8.14469
0.0108071	6.81958
0.0136405	5.74149
0.0172169	4.86708
0.0217309	4.16055
0.0274285	3.59241
0.0346199	3.13842
0.0436968	2.7787
0.0551535	2.49698
0.069614	2.27995
0.0878659	2.11376
0.110903	1.98832
0.13998	1.89822
0.176681	1.83701
0.223005	1.79922
0.281474	1.78021
0.355273	1.77608
0.44842	1.78351
0.56599	1.79977
0.714385	1.82261
0.901688	1.85019
1.1381	1.88208
1.43649	1.91645
1.81312	1.95194
2.2885	1.98777
2.88851	2.02337
3.64584	2.05833
4.60173	2.09252
5.80825	2.12593
7.33109	2.15866
9.2532	2.19089
11.6793	2.22282
14.7414	2.25468
18.6064	2.28678
23.4848	2.31948
29.6422	2.35326
37.414	2.38877
47.2234	2.4268
59.6048	2.4684
75.2323	2.51489
94.9572	2.56796
119.854	2.62971
151.278	2.70284
190.941	2.79075
241.003	2.89774
304.191	3.02924
383.946	3.19216
484.611	3.39521
611.67	3.64943
772.041	3.96882
974.46	4.37104
1229.95	4.87842
1552.43	5.51921
1959.45	6.3292
2473.2	7.35326
3121.63	8.64836
3940.09	10.2863
4973.12	12.3578
6277.01	14.9774
7922.76	18.2895
10000	22.4768
