# PROTON ENERGY LOSS FOR Scintillator
# T [GeV]	 dE/dx [MeV/cm]
1e-05	519.235
1.26219e-05	576.49
1.59312e-05	638.351
2.01081e-05	704.569
2.53802e-05	774.231
3.20345e-05	845.812
4.04335e-05	916.836
5.10347e-05	959.054
6.44153e-05	982.087
8.13041e-05	979.767
0.000102621	948.423
0.000129527	888.947
0.000163487	807.618
0.000206351	714.606
0.000260454	620.559
0.000328741	533.291
0.000414933	456.495
0.000523722	390.56
0.000661035	334.21
0.00083435	285.801
0.00105311	243.938
0.00132922	207.595
0.00167772	176.042
0.00211759	148.304
0.0026728	123.645
0.00337357	102.7
0.00425808	85.2279
0.00537449	70.5781
0.00678361	58.41
0.00856218	48.272
0.0108071	39.869
0.0136405	32.9115
0.0172169	27.1621
0.0217309	22.4197
0.0274285	18.5148
0.0346199	15.3051
0.0436968	12.6715
0.0551535	10.5144
0.069614	8.75098
0.0878659	7.31235
0.110903	6.14146
0.13998	5.19109
0.176681	4.42231
0.223005	3.80308
0.281474	3.30709
0.355273	2.91277
0.44842	2.6025
0.56599	2.36184
0.714385	2.17823
0.901688	2.03723
1.1381	1.93444
1.43649	1.86294
1.81312	1.81694
2.2885	1.79149
2.88851	1.78243
3.64584	1.78624
4.60173	1.79998
5.80825	1.82127
7.33109	1.84813
9.2532	1.87906
11.6793	1.91272
14.7414	1.94812
18.6064	1.98443
23.4848	2.02101
29.6422	2.05741
37.414	2.0934
47.2234	2.12892
59.6048	2.16404
75.2323	2.19888
94.9572	2.23356
119.854	2.26823
151.278	2.30304
190.941	2.33814
241.003	2.37376
304.191	2.41019
383.946	2.4478
484.611	2.4871
611.67	2.52877
772.041	2.57372
974.46	2.62309
1229.95	2.67842
1552.43	2.74164
1959.45	2.81527
2473.2	2.8773
3121.63	2.9573
3940.09	3.06173
4973.12	3.19676
6277.01	3.37038
7922.76	3.59282
10000	3.87708
